SKU,Name,URL,Status
TNP001,iPhone 15 Pro,https://m.media-amazon.com/images/I/81Os1SDWpcL.jpg,OK
TNP002,Galaxy S24 Ultra,https://m.media-amazon.com/images/I/71RMo66VdaL.jpg,HTTP Error 404: Not Found
TNP003,WH-1000XM5 Headphones,https://m.media-amazon.com/images/I/51pS9k+z00L.jpg,HTTP Error 404: Not Found
TNP004,XPS 15 Laptop,https://m.media-amazon.com/images/I/71v2jixkOqL.jpg,HTTP Error 404: Not Found
TNP005,Spectre x360 2-in-1,https://m.media-amazon.com/images/I/71p-DmtR1pL.jpg,HTTP Error 404: Not Found
TNP006,ThinkPad X1 Carbon Gen 11,https://m.media-amazon.com/images/I/61x0V1-e40L.jpg,HTTP Error 404: Not Found
TNP007,ROG Zephyrus G14,https://m.media-amazon.com/images/I/71s8L+hS1eL.jpg,HTTP Error 404: Not Found
TNP008,Swift Go 14 OLED,https://m.media-amazon.com/images/I/71c50D8Y9YL.jpg,HTTP Error 404: Not Found
TNP009,Stealth 16 Studio,https://m.media-amazon.com/images/I/81L6zG1yO-L.jpg,HTTP Error 404: Not Found
TNP010,C3 65-Inch OLED TV,https://m.media-amazon.com/images/I/81I-3lB+20L.jpg,HTTP Error 404: Not Found
TNP011,MX Master 3S Mouse,https://m.media-amazon.com/images/I/61ni3t1ryQL.jpg,OK
TNP012,DeathAdder V3 Pro,https://m.media-amazon.com/images/I/61+yB5+K+3L.jpg,HTTP Error 404: Not Found
TNP013,QuietComfort Ultra,https://m.media-amazon.com/images/I/51c4tL79q8L.jpg,HTTP Error 404: Not Found
TNP014,Surface Laptop 5,https://m.media-amazon.com/images/I/61x0V1-e40L.jpg,HTTP Error 404: Not Found
TNP015,Pixel 8 Pro,https://m.media-amazon.com/images/I/719fpx-V7SL.jpg,HTTP Error 404: Not Found
TNP016,MateBook X Pro,https://m.media-amazon.com/images/I/61Bw-Jj6X+L.jpg,HTTP Error 404: Not Found
TNP017,Xiaomi 14 Ultra,https://m.media-amazon.com/images/I/61VdF4GIfiL.jpg,HTTP Error 404: Not Found
TNP018,Find N3 Flip,https://m.media-amazon.com/images/I/71s3vYd4jPL.jpg,HTTP Error 404: Not Found
TNP019,OnePlus 12,https://m.media-amazon.com/images/I/717Qo4MH97L.jpg,OK
TNP020,Mini 4 Pro Drone,https://m.media-amazon.com/images/I/71A9W-eZ+RL.jpg,HTTP Error 404: Not Found
TNP021,737 Power Bank,https://m.media-amazon.com/images/I/71hUeb+bHQL.jpg,HTTP Error 404: Not Found
TNP022,K70 RGB PRO Keyboard,https://m.media-amazon.com/images/I/71S9b5R5HjL.jpg,HTTP Error 404: Not Found
TNP023,FURY Renegade DDR5,https://m.media-amazon.com/images/I/61dCXZ26j0L.jpg,HTTP Error 404: Not Found
TNP024,WD Black SN850X 2TB,https://m.media-amazon.com/images/I/71d7rfSl0wL.jpg,OK
TNP025,FireCuda 530 2TB,https://m.media-amazon.com/images/I/71d7rfSl0wL.jpg,OK
TNP026,Core i9-14900K,https://m.media-amazon.com/images/I/61x0V1-e40L.jpg,HTTP Error 404: Not Found
TNP027,GeForce RTX 4090,https://m.media-amazon.com/images/I/71WcjAUB16L.jpg,HTTP Error 404: Not Found
TNP028,Ryzen 9 7950X3D,https://m.media-amazon.com/images/I/61x0V1-e40L.jpg,HTTP Error 404: Not Found
TNP029,Snapdragon 8 Gen 3 Dev Kit,https://m.media-amazon.com/images/I/717Qo4MH97L.jpg,OK
TNP030,Crucial T705 2TB SSD,https://m.media-amazon.com/images/I/71d7rfSl0wL.jpg,OK
TNP031,Lumix S5 II Camera,https://m.media-amazon.com/images/I/61Xz9X1t7+L.jpg,HTTP Error 404: Not Found
TNP032,MG Series 18TB HDD,https://m.media-amazon.com/images/I/71d7rfSl0wL.jpg,OK
TNP033,Aquos 4K Smart TV,https://m.media-amazon.com/images/I/81I-3lB+20L.jpg,HTTP Error 404: Not Found
TNP034,EOS R6 Mark II,https://m.media-amazon.com/images/I/61Xz9X1t7+L.jpg,HTTP Error 404: Not Found
TNP035,ScanSnap iX1600,https://m.media-amazon.com/images/I/61x0V1-e40L.jpg,HTTP Error 404: Not Found
TNP036,Platinum P41 2TB SSD,https://m.media-amazon.com/images/I/71d7rfSl0wL.jpg,OK
TNP037,Industrial Server Chassis,https://m.media-amazon.com/images/I/61x0V1-e40L.jpg,HTTP Error 404: Not Found
TNP038,Dimensity 9300 Reference Pad,https://m.media-amazon.com/images/I/71s8L+hS1eL.jpg,HTTP Error 404: Not Found
TNP039,XPG Lancer RGB DDR5,https://m.media-amazon.com/images/I/61dCXZ26j0L.jpg,HTTP Error 404: Not Found
TNP040,StoreJet 25M3 HDD,https://m.media-amazon.com/images/I/71d7rfSl0wL.jpg,OK
TNP041,AX5400 Mesh Router,https://m.media-amazon.com/images/I/61JGKhqxHxL.jpg,OK
TNP042,DiskStation DS923+,https://m.media-amazon.com/images/I/71v2jixkOqL.jpg,HTTP Error 404: Not Found
TNP043,AORUS Master RTX 4080,https://m.media-amazon.com/images/I/81uNkV5+4vL.jpg,HTTP Error 404: Not Found
TNP044,MasterBox TD500 Mesh,https://m.media-amazon.com/images/I/71jQONF+7hL.jpg,HTTP Error 404: Not Found
TNP045,Momentum 4 Wireless,https://m.media-amazon.com/images/I/714h8V25l4L.jpg,HTTP Error 404: Not Found
TNP046,Beoplay H95,https://m.media-amazon.com/images/I/51c4tL79q8L.jpg,HTTP Error 404: Not Found
